year,fitnessdax_rank,fitness_score,fitness_score_100,matched_company,ticker,index,sector,cluster,participants,germany_employees_estimate,participation_rate,participation_rate_pct,participation_rate_rank,races_entered,top_20_pace,top_20_pace_formatted,top_20_pace_rank,median_pace,median_pace_formatted,median_pace_rank,average_pace_formatted,fastest_pace_formatted,slowest_pace_formatted,culture_score,culture_score_rank
2024,52,0.214,21.4,Commerzbank,CBK.DE,DAX,Finance,Corporate Marathoners,57,29000,0.00196551724137931,0.2,52,5,4.497076023391813,4:30/km,23,5.824269005847953,5:49/km,41,5:47/km,3:45/km,7:22/km,0.301,42
2024,53,0.2117,21.2,Sartorius,SRT3.DE,DAX,Healthcare,Precision Engineers,18,5500,0.0032727272727272726,0.33,44,1,5.083333333333333,5:05/km,58,6.064166666666667,6:04/km,52,6:20/km,5:02/km,9:02/km,0.207,56
2024,54,0.2093,20.9,EnBW,EBK.DE,Other,Energy,Grid Operators,28,28000,0.001,0.1,56,3,4.887134502923977,4:53/km,52,5.721453216374268,5:43/km,32,6:00/km,4:31/km,8:32/km,0.253,49
2024,55,0.2079,20.8,Deutsche Post,DHL.DE,DAX,Logistics,Corporate Marathoners,355,190000,0.0018684210526315789,0.19,53,9,4.70327868852459,4:42/km,45,5.87953216374269,5:53/km,46,6:02/km,3:02/km,10:54/km,0.434,12
2024,56,0.2008,20.1,Deutsche Bank,DBK.DE,DAX,Finance,Corporate Marathoners,66,38000,0.001736842105263158,0.17,55,4,4.751912568306011,4:45/km,46,5.941166666666668,5:56/km,48,6:00/km,3:56/km,8:43/km,0.306,41
2024,57,0.1924,19.2,Merck,MRK.DE,DAX,Healthcare,Precision Engineers,24,13000,0.0018461538461538461,0.18,54,4,4.646783625730994,4:39/km,38,6.057333333333334,6:03/km,51,6:09/km,4:28/km,9:09/km,0.228,53
2024,58,0.182,18.2,Zalando,ZAL.DE,DAX,Consumer,Digital Hustlers,18,8000,0.00225,0.22,50,1,4.36271186440678,4:22/km,18,6.244067796610168,6:15/km,54,6:05/km,4:01/km,8:40/km,0.201,57
2024,59,0.1481,14.8,Fresenius,FRE.DE,DAX,Healthcare,Care Providers,51,85000,0.0006,0.06,58,2,5.186999999999999,5:11/km,59,6.370666666666667,6:22/km,57,6:37/km,4:36/km,12:00/km,0.268,46
2024,60,0.1309,13.1,Hochtief,HOT.DE,MDAX,Industrials,Infrastructure Operators,19,5000,0.0038,0.38,42,2,4.795384615384615,4:48/km,49,7.0929824561403505,7:06/km,60,6:25/km,4:23/km,7:07/km,0.18,60
2025,1,0.9183,91.8,Puma,PUM.DE,MDAX,Consumer,Consumer Lifestyle,98,2000,0.049,4.9,12,1,4.271174863387978,4:16/km,6,5.290027322404372,5:17/km,7,5:22/km,3:13/km,8:24/km,0.376,29
2025,2,0.9151,91.5,Villeroy & Boch,VIB3.DE,SDAX,Consumer,Consumer Lifestyle,104,2000,0.052,5.2,10,1,4.238364779874214,4:14/km,5,5.491037735849057,5:29/km,14,5:39/km,3:22/km,9:46/km,0.367,32
2025,3,0.9131,91.3,CENIT,CSH.DE,Other,Technology,Office Athletes,35,700,0.05,5.0,11,5,4.273000000000001,4:16/km,7,5.514166666666667,5:31/km,15,5:41/km,4:13/km,8:11/km,0.28,47
2025,4,0.9108,91.1,Borussia Dortmund,BVB.DE,SDAX,Media,Performance Culture,56,1000,0.056,5.6,9,1,4.543079096045197,4:33/km,27,5.540536723163842,5:32/km,17,5:41/km,3:56/km,8:43/km,0.316,41
